PRODUCTOS,Cantidad,Diciembre,Enero,Febrero,Marzo,Abril
ACEITE COCINERO GIRASOL,1500,2500,3100,3450,3600,3700
ARROZ GRANO FINO,1000,1650,2300,2800,3100,3550
AZUCAR LEDESMA,1000,1990,2050,2050,2100,2100
FIDEOS GUISEROS,500,1600,1990,2150,2200,2290
HARINA DE TRIGO,1000,950,1250,1350,1500,1690
HUEVOS COLOR DOCENA,720,2200,2600,3000,3400,3800
PAN FRESCO,1000,1650,2100,2200,2300,2300
LECHE c/VIT.FORT,1000,1100,1210,1620,1890,1990
YERBA TARAGUI,1000,2800,3700,4600,4950,5500
ZANAHORIAS,1000,820,990,1100,1100,1100
BERENJENAS,1000,1200,1200,1490,2200,3200
TOMATE PERITA,1000,1200,1100,1200,2300,2700
CEBOLLA,1000,500,700,990,1150,1500
PAPA NEGRA,1000,850,890,1000,990,900
ACELGA PAQUETE,900,450,620,1100,1990,1990
NARANJA,1000,920,1250,1850,1900,2200
MANZANA,1000,1900,2100,2400,2400,2700
BOLA DE LOMO,1000,6200,7200,8300,8500,8650
ASADO,1000,5400,6300,7500,7600,7750
PALETA,1000,5200,6200,7100,7800,7900
CARNE PICADA COMUN,1000,4200,4800,5200,5200,5500
